Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,none,0.914634146,0.871559633,0.900473934,0.885780886,0.918118467,0.880733945,0.901408451,0.890951276,0.911149826,0.866972477,0.895734597,0.881118881,0.909407666,0.853211009,0.902912621,0.877358491,0.916376307,0.894495413,0.886363636,0.890410959
meanmode,none,0.926829268,0.905172414,0.913043478,0.909090909,0.916376307,0.896551724,0.896551724,0.896551724,0.918118467,0.857758621,0.9342723,0.894382022,0.923344948,0.892241379,0.915929204,0.903930131,0.918118467,0.887931034,0.907488987,0.897603486
meanmode,none,0.912891986,0.938388626,0.842553191,0.887892377,0.919860627,0.933649289,0.860262009,0.895454545,0.909407666,0.947867299,0.829875519,0.884955752,0.918118467,0.943127962,0.85042735,0.894382022,0.912891986,0.928909953,0.848484848,0.886877828
meanmode,none,0.916376307,0.866666667,0.915492958,0.890410959,0.932055749,0.897777778,0.926605505,0.911963883,0.921602787,0.915555556,0.887931034,0.901531729,0.912891986,0.902222222,0.878787879,0.890350877,0.916376307,0.866666667,0.915492958,0.890410959
meanmode,none,0.945993031,0.916317992,0.952173913,0.933901919,0.944250871,0.928870293,0.936708861,0.932773109,0.942508711,0.887029289,0.972477064,0.927789934,0.940766551,0.89958159,0.955555556,0.926724138,0.944250871,0.916317992,0.948051948,0.931914894
meanmode,none,0.93728223,0.898148148,0.932692308,0.91509434,0.940766551,0.925925926,0.917431193,0.921658986,0.933797909,0.893518519,0.927884615,0.910377358,0.93902439,0.921296296,0.917050691,0.919168591,0.940766551,0.925925926,0.917431193,0.921658986
meanmode,none,0.919860627,0.920353982,0.881355932,0.9004329,0.919860627,0.915929204,0.884615385,0.9,0.926829268,0.920353982,0.896551724,0.908296943,0.926829268,0.92920354,0.889830508,0.909090909,0.923344948,0.911504425,0.895652174,0.903508772
meanmode,none,0.926829268,0.918918919,0.894736842,0.906666667,0.923344948,0.927927928,0.88034188,0.903508772,0.933797909,0.945945946,0.889830508,0.917030568,0.923344948,0.954954955,0.861788618,0.905982906,0.916376307,0.914414414,0.875,0.894273128
meanmode,none,0.933797909,0.960526316,0.883064516,0.920168067,0.932055749,0.925438596,0.905579399,0.915401302,0.93728223,0.951754386,0.896694215,0.923404255,0.940766551,0.938596491,0.914529915,0.926406926,0.926829268,0.929824561,0.890756303,0.909871245
meanmode,none,0.921602787,0.912037037,0.883408072,0.897494305,0.932055749,0.921296296,0.900452489,0.910755149,0.918118467,0.912037037,0.875555556,0.893424036,0.919860627,0.925925926,0.869565217,0.896860987,0.905923345,0.930555556,0.8375,0.881578947
meanmode,none,0.932055749,0.936651584,0.892241379,0.913907285,0.930313589,0.941176471,0.885106383,0.912280702,0.930313589,0.936651584,0.888412017,0.911894273,0.925087108,0.923076923,0.886956522,0.904656319,0.919860627,0.950226244,0.857142857,0.901287554
meanmode,none,0.864111498,0.978165939,0.754208754,0.851711027,0.93728223,0.934497817,0.910638298,0.922413793,0.940766551,0.943231441,0.911392405,0.927038627,0.93554007,0.938864629,0.903361345,0.920770878,0.93728223,0.930131004,0.91416309,0.922077922
