Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,Knn acc,Knn rec,Knn prec,Knn f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,AdaBoost acc,AdaBoost rec,AdaBoost prec,AdaBoost f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1,Linear SVM acc,Linear SVM rec,Linear SVM prec,Linear SVM f1,Decision Tree acc,Decision Tree rec,Decision Tree prec,Decision Tree f1
meanmode,none,0.907665505,0.857142857,0.908256881,0.881959911,0.928571429,0.933649289,0.879464286,0.905747126,0.898954704,0.857142857,0.887892377,0.872246696,0.904181185,0.844155844,0.911214953,0.876404494,0.916376307,0.874458874,0.914027149,0.89380531,0.888501742,0.792207792,0.91959799,0.851162791,0.918118467,0.861471861,0.929906542,0.894382022,0.916376307,0.874458874,0.914027149,0.89380531,0.885017422,0.831168831,0.876712329,0.853333333
meanmode,none,0.923344948,0.875598086,0.910447761,0.892682927,0.932055749,0.912037037,0.907834101,0.909930716,0.919860627,0.880382775,0.897560976,0.888888889,0.926829268,0.913875598,0.888372093,0.900943396,0.923344948,0.875598086,0.910447761,0.892682927,0.926829268,0.894736842,0.903381643,0.899038462,0.93902439,0.90430622,0.926470588,0.915254237,0.916376307,0.842105263,0.921465969,0.88,0.858885017,0.775119617,0.826530612,0.8
meanmode,none,0.93728223,0.953703704,0.887931034,0.919642857,0.921602787,0.918918919,0.883116883,0.900662252,0.890243902,0.842592593,0.862559242,0.852459016,0.933797909,0.953703704,0.88034188,0.915555556,0.926829268,0.939814815,0.875,0.90625,0.904181185,0.939814815,0.828571429,0.880694143,0.930313589,0.949074074,0.876068376,0.911111111,0.926829268,0.939814815,0.875,0.90625,0.8728223,0.856481481,0.814977974,0.835214447
meanmode,none,0.926829268,0.922131148,0.907258065,0.914634146,0.940766551,0.937219731,0.912663755,0.924778761,0.893728223,0.836065574,0.906666667,0.869936034,0.933797909,0.893442623,0.947826087,0.919831224,0.925087108,0.889344262,0.931330472,0.909853249,0.871080139,0.758196721,0.925,0.833333333,0.921602787,0.87295082,0.938325991,0.904458599,0.890243902,0.93442623,0.829090909,0.878612717,0.81358885,0.770491803,0.786610879,0.778467909
meanmode,none,0.921602787,0.846153846,0.944444444,0.892601432,0.919860627,0.917050691,0.876651982,0.896396396,0.900696864,0.805429864,0.927083333,0.861985472,0.928571429,0.882352941,0.928571429,0.90487239,0.916376307,0.819004525,0.957671958,0.882926829,0.900696864,0.805429864,0.927083333,0.861985472,0.905923345,0.864253394,0.888372093,0.876146789,0.923344948,0.864253394,0.931707317,0.896713615,0.851916376,0.719457014,0.873626374,0.789081886
meanmode,none,0.930313589,0.909090909,0.917030568,0.913043478,0.93902439,0.898373984,0.956709957,0.926624738,0.897212544,0.861471861,0.880530973,0.870897155,0.925087108,0.891774892,0.919642857,0.905494505,0.930313589,0.896103896,0.928251121,0.911894273,0.911149826,0.857142857,0.916666667,0.88590604,0.919860627,0.943722944,0.868525896,0.904564315,0.925087108,0.87012987,0.939252336,0.903370787,0.850174216,0.861471861,0.786561265,0.82231405
meanmode,none,0.916376307,0.942857143,0.846153846,0.891891892,0.919860627,0.88034188,0.919642857,0.899563319,0.905923345,0.861904762,0.878640777,0.870192308,0.919860627,0.947619048,0.85042735,0.896396396,0.925087108,0.928571429,0.874439462,0.900692841,0.907665505,0.90952381,0.848888889,0.87816092,0.909407666,0.919047619,0.846491228,0.881278539,0.919860627,0.861904762,0.914141414,0.887254902,0.890243902,0.871428571,0.835616438,0.853146853
meanmode,none,0.928571429,0.92173913,0.90212766,0.911827957,0.930313589,0.917030568,0.909090909,0.913043478,0.891986063,0.839130435,0.885321101,0.861607143,0.926829268,0.908695652,0.908695652,0.908695652,0.940766551,0.939130435,0.915254237,0.927038627,0.909407666,0.917391304,0.864754098,0.890295359,0.923344948,0.943478261,0.875,0.907949791,0.930313589,0.913043478,0.913043478,0.913043478,0.886759582,0.895652174,0.834008097,0.863731656
meanmode,none,0.921602787,0.894273128,0.90625,0.900221729,0.930313589,0.92760181,0.895196507,0.911111111,0.883275261,0.837004405,0.863636364,0.850111857,0.930313589,0.9030837,0.919282511,0.911111111,0.932055749,0.885462555,0.939252336,0.911564626,0.905923345,0.872246696,0.887892377,0.88,0.921602787,0.889867841,0.90990991,0.899777283,0.926829268,0.889867841,0.922374429,0.905829596,0.881533101,0.850220264,0.850220264,0.850220264
meanmode,none,0.919860627,0.875,0.922727273,0.898230088,0.93902439,0.935960591,0.896226415,0.915662651,0.886759582,0.818965517,0.892018779,0.853932584,0.932055749,0.905172414,0.925110132,0.91503268,0.926829268,0.892241379,0.924107143,0.907894737,0.897212544,0.875,0.871244635,0.87311828,0.921602787,0.922413793,0.887966805,0.904862579,0.902439024,0.857758621,0.896396396,0.876651982,0.893728223,0.86637931,0.87012987,0.86825054
