Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,none,0.907665505,0.857142857,0.908256881,0.881959911,0.928571429,0.933649289,0.879464286,0.905747126,0.904181185,0.844155844,0.911214953,0.876404494,0.916376307,0.874458874,0.914027149,0.89380531,0.918118467,0.861471861,0.929906542,0.894382022
meanmode,none,0.923344948,0.875598086,0.910447761,0.892682927,0.932055749,0.912037037,0.907834101,0.909930716,0.926829268,0.913875598,0.888372093,0.900943396,0.923344948,0.875598086,0.910447761,0.892682927,0.93902439,0.90430622,0.926470588,0.915254237
meanmode,none,0.93728223,0.953703704,0.887931034,0.919642857,0.921602787,0.918918919,0.883116883,0.900662252,0.933797909,0.953703704,0.88034188,0.915555556,0.926829268,0.939814815,0.875,0.90625,0.930313589,0.949074074,0.876068376,0.911111111
meanmode,none,0.926829268,0.922131148,0.907258065,0.914634146,0.940766551,0.937219731,0.912663755,0.924778761,0.933797909,0.893442623,0.947826087,0.919831224,0.925087108,0.889344262,0.931330472,0.909853249,0.921602787,0.87295082,0.938325991,0.904458599
meanmode,none,0.921602787,0.846153846,0.944444444,0.892601432,0.919860627,0.917050691,0.876651982,0.896396396,0.928571429,0.882352941,0.928571429,0.90487239,0.916376307,0.819004525,0.957671958,0.882926829,0.905923345,0.864253394,0.888372093,0.876146789
meanmode,none,0.930313589,0.909090909,0.917030568,0.913043478,0.93902439,0.898373984,0.956709957,0.926624738,0.925087108,0.891774892,0.919642857,0.905494505,0.930313589,0.896103896,0.928251121,0.911894273,0.919860627,0.943722944,0.868525896,0.904564315
meanmode,none,0.916376307,0.942857143,0.846153846,0.891891892,0.919860627,0.88034188,0.919642857,0.899563319,0.919860627,0.947619048,0.85042735,0.896396396,0.925087108,0.928571429,0.874439462,0.900692841,0.909407666,0.919047619,0.846491228,0.881278539
meanmode,none,0.928571429,0.92173913,0.90212766,0.911827957,0.930313589,0.917030568,0.909090909,0.913043478,0.926829268,0.908695652,0.908695652,0.908695652,0.940766551,0.939130435,0.915254237,0.927038627,0.923344948,0.943478261,0.875,0.907949791
meanmode,none,0.921602787,0.894273128,0.90625,0.900221729,0.930313589,0.92760181,0.895196507,0.911111111,0.930313589,0.9030837,0.919282511,0.911111111,0.932055749,0.885462555,0.939252336,0.911564626,0.921602787,0.889867841,0.90990991,0.899777283
meanmode,none,0.919860627,0.875,0.922727273,0.898230088,0.93902439,0.935960591,0.896226415,0.915662651,0.932055749,0.905172414,0.925110132,0.91503268,0.926829268,0.892241379,0.924107143,0.907894737,0.921602787,0.922413793,0.887966805,0.904862579
meanmode,none,0.900696864,0.948113208,0.813765182,0.875816993,0.930313589,0.923076923,0.898678414,0.910714286,0.897212544,0.966981132,0.79766537,0.874200426,0.907665505,0.952830189,0.824489796,0.884026258,0.907665505,0.910377358,0.850220264,0.879271071
meanmode,none,0.907665505,0.931818182,0.843621399,0.885529158,0.947735192,0.9342723,0.925581395,0.929906542,0.912891986,0.945454545,0.845528455,0.892703863,0.918118467,0.940909091,0.858921162,0.898047722,0.907665505,0.927272727,0.846473029,0.885032538
meanmode,none,0.93728223,0.881057269,0.956937799,0.917431193,0.928571429,0.918181818,0.897777778,0.907865169,0.940766551,0.898678414,0.948837209,0.923076923,0.932055749,0.863436123,0.960784314,0.909512761,0.940766551,0.920704846,0.928888889,0.924778761
meanmode,none,0.923344948,0.880733945,0.914285714,0.897196262,0.930313589,0.92,0.903930131,0.911894273,0.93554007,0.922018349,0.909502262,0.91571754,0.932055749,0.889908257,0.928229665,0.908665105,0.926829268,0.908256881,0.9,0.904109589
meanmode,none,0.912891986,0.938679245,0.843220339,0.888392857,0.93554007,0.912820513,0.898989899,0.905852417,0.912891986,0.952830189,0.834710744,0.889867841,0.911149826,0.948113208,0.834024896,0.887417219,0.909407666,0.948113208,0.830578512,0.885462555
meanmode,none,0.947735192,0.936936937,0.928571429,0.932735426,0.93728223,0.922727273,0.914414414,0.918552036,0.942508711,0.954954955,0.90212766,0.927789934,0.944250871,0.927927928,0.927927928,0.927927928,0.93728223,0.954954955,0.890756303,0.92173913
meanmode,none,0.921602787,0.836909871,0.965346535,0.896551724,0.918118467,0.924778761,0.874476987,0.898924731,0.925087108,0.862660944,0.948113208,0.903370787,0.933797909,0.884120172,0.949308756,0.915555556,0.926829268,0.896995708,0.920704846,0.908695652
meanmode,none,0.944250871,0.937777778,0.92139738,0.929515419,0.932055749,0.943396226,0.881057269,0.911161731,0.945993031,0.964444444,0.904166667,0.933333333,0.93554007,0.92,0.915929204,0.917960089,0.925087108,0.928888889,0.88559322,0.906724512
meanmode,none,0.923344948,0.920187793,0.878923767,0.899082569,0.947735192,0.9375,0.92920354,0.933333333,0.928571429,0.938967136,0.877192982,0.907029478,0.930313589,0.924882629,0.891402715,0.907834101,0.93554007,0.943661972,0.889380531,0.91571754
meanmode,none,0.93728223,0.924778761,0.916666667,0.920704846,0.933797909,0.940366972,0.891304348,0.915178571,0.949477352,0.938053097,0.933920705,0.93598234,0.947735192,0.915929204,0.949541284,0.932432432,0.932055749,0.942477876,0.891213389,0.916129032
meanmode,none,0.93554007,0.925311203,0.921487603,0.923395445,0.926829268,0.886075949,0.933333333,0.909090909,0.93554007,0.912863071,0.93220339,0.922431866,0.940766551,0.917012448,0.940425532,0.928571429,0.923344948,0.933609959,0.889328063,0.910931174
meanmode,none,0.914634146,0.934579439,0.85106383,0.890868597,0.926829268,0.945945946,0.875,0.909090909,0.918118467,0.920560748,0.86784141,0.893424036,0.914634146,0.906542056,0.869955157,0.887871854,0.911149826,0.887850467,0.875576037,0.881670534
meanmode,none,0.93728223,0.886877828,0.946859903,0.91588785,0.928571429,0.866071429,0.946341463,0.904428904,0.933797909,0.886877828,0.937799043,0.911627907,0.928571429,0.850678733,0.959183673,0.901678657,0.930313589,0.891402715,0.924882629,0.907834101
meanmode,none,0.916376307,0.897777778,0.889867841,0.89380531,0.902439024,0.899122807,0.861344538,0.879828326,0.921602787,0.902222222,0.898230088,0.900221729,0.925087108,0.888888889,0.917431193,0.902934537,0.905923345,0.888888889,0.873362445,0.881057269
meanmode,none,0.933797909,0.862831858,0.965346535,0.911214953,0.916376307,0.913793103,0.883333333,0.898305085,0.932055749,0.85840708,0.965174129,0.908665105,0.925087108,0.845132743,0.959798995,0.898823529,0.912891986,0.849557522,0.923076923,0.884792627
meanmode,none,0.914634146,0.880733945,0.893023256,0.886836028,0.926829268,0.922374429,0.889867841,0.905829596,0.914634146,0.866972477,0.90430622,0.885245902,0.919860627,0.912844037,0.880530973,0.896396396,0.928571429,0.899082569,0.911627907,0.905311778
meanmode,none,0.933797909,0.905405405,0.922018349,0.913636364,0.923344948,0.868995633,0.9342723,0.900452489,0.93728223,0.923423423,0.915178571,0.919282511,0.930313589,0.914414414,0.90625,0.910313901,0.921602787,0.923423423,0.879828326,0.901098901
meanmode,none,0.928571429,0.921052632,0.901287554,0.911062907,0.923344948,0.942222222,0.872427984,0.905982906,0.933797909,0.925438596,0.909482759,0.917391304,0.93554007,0.934210526,0.906382979,0.920086393,0.932055749,0.925438596,0.905579399,0.915401302
meanmode,none,0.928571429,0.905405405,0.909502262,0.90744921,0.911149826,0.940366972,0.843621399,0.889370933,0.930313589,0.936936937,0.888888889,0.912280702,0.942508711,0.945945946,0.909090909,0.927152318,0.921602787,0.914414414,0.886462882,0.900221729
meanmode,none,0.932055749,0.891891892,0.929577465,0.910344828,0.926829268,0.932126697,0.884120172,0.907488987,0.933797909,0.900900901,0.925925926,0.913242009,0.930313589,0.90990991,0.90990991,0.90990991,0.918118467,0.896396396,0.892376682,0.894382022
meanmode,AffinityPropagation,0.898954704,0.829787234,0.915492958,0.870535714,0.902439024,0.845493562,0.907834101,0.875555556,0.898954704,0.834042553,0.911627907,0.871111111,0.895470383,0.795744681,0.939698492,0.861751152,0.881533101,0.829787234,0.874439462,0.851528384
meanmode,AffinityPropagation,0.909407666,0.881818182,0.881818182,0.881818182,0.911149826,0.851851852,0.906403941,0.878281623,0.909407666,0.859090909,0.9,0.879069767,0.900696864,0.854545455,0.882629108,0.868360277,0.900696864,0.868181818,0.872146119,0.870159453
meanmode,AffinityPropagation,0.909407666,0.873362445,0.896860987,0.884955752,0.898954704,0.881355932,0.87394958,0.877637131,0.912891986,0.868995633,0.908675799,0.888392857,0.905923345,0.860262009,0.899543379,0.879464286,0.898954704,0.890829694,0.860759494,0.875536481
meanmode,AffinityPropagation,0.865853659,0.833333333,0.806451613,0.819672131,0.898954704,0.847107438,0.907079646,0.876068376,0.879790941,0.847619048,0.827906977,0.837647059,0.855400697,0.842857143,0.779735683,0.81006865,0.890243902,0.866666667,0.838709677,0.852459016
meanmode,AffinityPropagation,0.918118467,0.901345291,0.889380531,0.89532294,0.905923345,0.798076923,0.93258427,0.860103627,0.925087108,0.919282511,0.891304348,0.905077263,0.893728223,0.843049327,0.878504673,0.860411899,0.900696864,0.896860987,0.854700855,0.875273523
meanmode,AffinityPropagation,0.898954704,0.852534562,0.876777251,0.864485981,0.926829268,0.912621359,0.886792453,0.899521531,0.909407666,0.903225806,0.863436123,0.882882883,0.912891986,0.884792627,0.884792627,0.884792627,0.897212544,0.907834101,0.834745763,0.869757174
meanmode,AffinityPropagation,0.898954704,0.791469194,0.922651934,0.852040816,0.902439024,0.831858407,0.912621359,0.87037037,0.911149826,0.829383886,0.921052632,0.872817955,0.897212544,0.853080569,0.865384615,0.859188544,0.900696864,0.819905213,0.901041667,0.858560794
