ImputationType,FeatureSelectionType,ModelType,Recall
meanmode,none,Logistic,0.87155963299999994
meanmode,none,Logistic,0.90517241400000004
meanmode,none,Logistic,0.93838862599999995
meanmode,none,Logistic,0.86666666700000006
meanmode,none,Logistic,0.91631799200000008
meanmode,none,Logistic,0.89814814799999998
meanmode,none,Logistic,0.92035398200000007
meanmode,none,Logistic,0.91891891900000011
meanmode,none,Logistic,0.96052631599999994
meanmode,none,Logistic,0.91203703700000005
meanmode,none,Logistic,0.93665158400000004
meanmode,none,Logistic,0.97816593900000004
meanmode,none,Logistic,0.8212560390000001
meanmode,none,Logistic,0.90140845099999989
meanmode,none,Logistic,0.88841201700000005
meanmode,none,Logistic,0.85840707999999999
meanmode,none,Logistic,0.89380530999999996
meanmode,none,Logistic,0.88317756999999997
meanmode,none,Logistic,0.86206896599999994
meanmode,none,Logistic,0.90497737599999994
meanmode,none,Random Forest,0.88073394500000002
meanmode,none,Random Forest,0.89655172400000005
meanmode,none,Random Forest,0.9336492890000001
meanmode,none,Random Forest,0.89777777799999992
meanmode,none,Random Forest,0.92887029300000001
meanmode,none,Random Forest,0.9259259259999999
meanmode,none,Random Forest,0.91592920400000011
meanmode,none,Random Forest,0.92792792800000001
meanmode,none,Random Forest,0.92543859599999989
meanmode,none,Random Forest,0.92129629599999996
meanmode,none,Random Forest,0.9411764709999999
meanmode,none,Random Forest,0.93449781700000001
meanmode,none,Random Forest,0.92753623200000002
meanmode,none,Random Forest,0.93896713599999992
meanmode,none,Random Forest,0.92703862700000006
meanmode,none,Random Forest,0.85840707999999999
meanmode,none,Random Forest,0.92477876099999989
meanmode,none,Random Forest,0.92523364500000005
meanmode,none,Random Forest,0.9008620690000001
meanmode,none,Random Forest,0.94570135700000002
meanmode,none,MLP,0.86697247700000002
meanmode,none,MLP,0.85775862099999989
meanmode,none,MLP,0.94786729900000011
meanmode,none,MLP,0.91555555599999994
meanmode,none,MLP,0.88702928900000011
meanmode,none,MLP,0.89351851900000001
meanmode,none,MLP,0.92035398200000007
meanmode,none,MLP,0.94594594599999993
meanmode,none,MLP,0.95175438599999995
meanmode,none,MLP,0.91203703700000005
meanmode,none,MLP,0.93665158400000004
meanmode,none,MLP,0.94323144099999989
meanmode,none,MLP,0.86473430000000007
meanmode,none,MLP,0.92018779299999998
meanmode,none,MLP,0.93991416299999997
meanmode,none,MLP,0.88495575199999998
meanmode,none,MLP,0.92035398200000007
meanmode,none,MLP,0.89719626200000002
meanmode,none,MLP,0.89224137900000011
meanmode,none,MLP,0.91855203599999991
meanmode,none,SVM,0.85321100900000002
meanmode,none,SVM,0.89224137900000011
meanmode,none,SVM,0.94312796200000004
meanmode,none,SVM,0.90222222200000002
meanmode,none,SVM,0.89958159000000004
meanmode,none,SVM,0.92129629599999996
meanmode,none,SVM,0.92920354000000005
meanmode,none,SVM,0.95495495500000005
meanmode,none,SVM,0.93859649099999998
meanmode,none,SVM,0.9259259259999999
meanmode,none,SVM,0.92307692299999999
meanmode,none,SVM,0.93886462900000001
meanmode,none,SVM,0.82608695700000001
meanmode,none,SVM,0.91079812199999999
meanmode,none,SVM,0.89270386299999993
meanmode,none,SVM,0.87168141599999993
meanmode,none,SVM,0.91150442499999995
meanmode,none,SVM,0.8925233640000001
meanmode,none,SVM,0.86206896599999994
