ImputationType,FeatureSelectionType,ModelType,Recall
meanmode,none,Logistic,0.85714285700000004
meanmode,none,Logistic,0.87559808599999989
meanmode,none,Logistic,0.95370370400000004
meanmode,none,Logistic,0.92213114799999996
meanmode,none,Logistic,0.84615384599999999
meanmode,none,Logistic,0.90909090900000011
meanmode,none,Logistic,0.94285714300000001
meanmode,none,Logistic,0.92173912999999996
meanmode,none,Logistic,0.89427312799999992
meanmode,none,Logistic,0.875
meanmode,none,Logistic,0.94811320799999999
meanmode,none,Logistic,0.93181818199999999
meanmode,none,Logistic,0.88105726900000003
meanmode,none,Logistic,0.88073394500000002
meanmode,none,Logistic,0.938679245
meanmode,none,Logistic,0.93693693700000003
meanmode,none,Logistic,0.83690987099999992
meanmode,none,Logistic,0.93777777799999995
meanmode,none,Logistic,0.92018779299999998
meanmode,none,Logistic,0.92477876099999989
meanmode,none,Logistic,0.92531120299999992
meanmode,none,Logistic,0.93457943900000007
meanmode,none,Logistic,0.88687782799999992
meanmode,none,Logistic,0.89777777799999992
meanmode,none,Logistic,0.86283185799999995
meanmode,none,Logistic,0.88073394500000002
meanmode,none,Logistic,0.905405405
meanmode,none,Logistic,0.92105263199999998
meanmode,none,Logistic,0.905405405
meanmode,none,Logistic,0.89189189200000007
meanmode,none,Logistic,0.89495798299999996
meanmode,none,Logistic,0.89224137900000011
meanmode,none,Logistic,0.97402597400000002
meanmode,none,Logistic,0.85407725299999993
meanmode,none,Logistic,0.93013100400000004
meanmode,none,Logistic,0.91810344799999999
meanmode,none,Logistic,0.93886462900000001
meanmode,none,Logistic,0.87111111099999994
meanmode,none,Logistic,0.95299145299999999
meanmode,none,Logistic,0.93103448300000002
meanmode,none,Logistic,0.92105263199999998
meanmode,none,Logistic,0.86936936900000006
meanmode,none,Logistic,0.91284403700000005
meanmode,none,Logistic,0.90566037700000002
meanmode,none,Logistic,0.91810344799999999
meanmode,none,Logistic,0.85964912299999996
meanmode,none,Logistic,0.85897435900000008
meanmode,none,Logistic,0.90434782599999997
meanmode,none,Logistic,0.88181818200000006
meanmode,none,Logistic,0.92820512799999999
meanmode,none,Random Forest,0.9336492890000001
meanmode,none,Random Forest,0.91203703700000005
meanmode,none,Random Forest,0.91891891900000011
meanmode,none,Random Forest,0.93721973099999989
meanmode,none,Random Forest,0.91705069099999992
meanmode,none,Random Forest,0.89837398400000001
meanmode,none,Random Forest,0.88034188000000002
meanmode,none,Random Forest,0.91703056799999993
meanmode,none,Random Forest,0.92760180999999997
meanmode,none,Random Forest,0.93596059099999995
meanmode,none,Random Forest,0.92307692299999999
meanmode,none,Random Forest,0.93427229999999994
meanmode,none,Random Forest,0.91818181799999998
meanmode,none,Random Forest,0.92000000000000004
meanmode,none,Random Forest,0.912820513
meanmode,none,Random Forest,0.92272727300000001
meanmode,none,Random Forest,0.92477876099999989
meanmode,none,Random Forest,0.94339622599999995
meanmode,none,Random Forest,0.9375
meanmode,none,Random Forest,0.94036697200000008
meanmode,none,Random Forest,0.88607594900000008
